objectId,CV_probability_RS_12,CV_probability_RS_24,CV_probability_RS_32,CV_probability_RS_42,CV_probability_RS_58,CV_probability_RS_12_1,finkclass,number_of_files,common_in_files
ZTF18acnlsiu,0.98453563,0.9326206,0.9965133,0.9091239,0.90904427,0.9512312,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabfqtp,0.97214633,0.99510264,0.97748214,0.9413763,0.94242513,0.9983865,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abvzkly,0.9811013,0.95696044,0.99548894,0.9737181,0.99921834,0.9740791,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aciberz,0.980034,0.92142165,0.998475,0.9674522,0.9984869,0.9743155,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acfzgyy,0.9907767,0.9590978,0.9780392,0.95966035,0.9420517,0.9757023,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aceyzdu,0.9772634,0.9379223,0.98467004,0.92707586,0.9172513,0.9475409,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aceljyy,0.99893063,0.99628395,0.99950004,0.99922776,0.9983608,0.99802554,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acecect,0.97137284,0.9769273,0.9971187,0.9910842,0.9880342,0.9961784,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acebhoz,0.9958586,0.9807278,0.9976514,0.9502295,0.9987845,0.9882135,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abwcaoz,0.9931457,0.9576663,0.99126434,0.9542824,0.9958639,0.97433144,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acdvwxp,0.9955823,0.9962393,0.99413186,0.99752384,0.998898,0.99542,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabpzjg,0.9067209,0.97813886,0.91340166,0.98288226,0.96728057,0.96615934,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabiixt,0.9984798,0.94688004,0.9169792,0.92001706,0.98128307,0.991983,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abwfkvl,0.9953616,0.9564568,0.9519297,0.9903604,0.9822134,0.9158662,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18accdkuh,0.9681718,0.94904417,0.98999244,0.9829427,0.9932019,0.9935569,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acbylhk,0.9787677,0.9534065,0.93107307,0.97340506,0.99082327,0.95023036,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acbwfii,0.99187183,0.9421676,0.9977817,0.9891417,0.9985606,0.9850386,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abwpsyj,0.9816414,0.9594866,0.9899262,0.98281235,0.98965317,0.9901362,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acavcwn,0.9572509,0.9692774,0.9670554,0.96139854,0.9316511,0.97567856,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabjfue,0.96390545,0.9695435,0.9960305,0.92369455,0.9960686,0.9941012,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abxifnp,0.99427277,0.9870744,0.9994442,0.98360187,0.9986712,0.99451643,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabjida,0.99789006,0.99142283,0.9857146,0.9934564,0.97429764,0.99512523,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acnnsmq,0.9169074,0.9408509,0.9941103,0.9840934,0.9634313,0.9950244,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acpdnmd,0.9027648,0.93962276,0.9863724,0.9904101,0.9637676,0.94325954,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabfddh,0.997981,0.9944547,0.9958003,0.99746346,0.99642473,0.9945943,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aabfaxr,0.97506386,0.9067494,0.9752857,0.9648886,0.9650321,0.9879176,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aaaoiqg,0.9944267,0.94502115,0.9905911,0.99809724,0.9967405,0.99571663,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aaaqvfx,0.9975496,0.9840042,0.998543,0.98128396,0.9492416,0.99304754,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acvwayb,0.9954358,0.97367144,0.9972108,0.9848364,0.9981869,0.9954348,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aaatlpr,0.96569735,0.92855,0.9824265,0.9962541,0.9945385,0.988442,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acvwalp,0.99822694,0.9819224,0.9965256,0.9607986,0.9364447,0.9917482,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acvqnpz,0.9949951,0.97218907,0.9927233,0.99715686,0.9923126,0.98498017,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acuyqbr,0.9942667,0.96160805,0.9901551,0.9971969,0.99981886,0.99868053,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acuxpxi,0.9991359,0.9986834,0.99855214,0.9993679,0.99914134,0.99922585,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acuxcun,0.95887405,0.96385753,0.9778919,0.9966961,0.996128,0.97627175,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abuncbq,0.93401456,0.95362616,0.95189184,0.9545426,0.95609576,0.99263144,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18abuxyhz,0.98434734,0.9858484,0.9202517,0.9413125,0.9938909,0.99486744,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18aaaxhyo,0.97916037,0.92137665,0.9816098,0.98685616,0.9896305,0.9956898,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acumsif,0.96347946,0.9710911,0.98256314,0.9874719,0.9913687,0.92630696,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acukars,0.9980312,0.9941605,0.9981608,0.99934703,0.9994698,0.999443,Unknown,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acufqmy,0.98744863,0.98372364,0.9933061,0.9908119,0.99004793,0.98146534,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
ZTF18acuajcr,0.99511707,0.9975152,0.99830014,0.989475,0.9987112,0.9967361,CataclyV*,6,"RS_12, RS_24, RS_32, RS_42, RS_58, RS_12_1"
